,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
166,2015,Reggie Bullock,SF,36,338,6.2,Suns,concussion (out for season),8,200.66,92.98636,24,2013,2.4,5.5,0,0,0,0,0,0,0,0,0,1,Other
191,2015,Richard Jefferson,SF,74,1244,11.3,Mavericks,back injury (out for season),8,200.66,106.140528,35,2001,11.2,6.2,0,0,0,0,0,0,1,0,0,0,Back
247,2016,Richaun Holmes,PF,51,702,15.9,76ers,strained right Achilles tendon (out for season),9,208.28,111.13004,22,2015,6.7,10.1,0,0,0,0,0,0,0,1,0,0,Achilles
94,2012,Ricky Rubio,PG,41,1404,14.6,Timberwolves,torn ACL in left knee (out for season),5,193.04,81.64656,21,2009,15.4,16.2,0,0,0,1,0,0,0,0,0,0,Knee
277,2017,Robert Covington,SF,67,2119,13.2,76ers,swelling in right knee (out for season),10,205.74,97.52228,26,Undrafted,12.4,15.53333333,0,0,0,1,0,0,0,0,0,0,Knee
211,2015,Ronnie Price,PG,43,982,10.2,Lakers,surgery on right elbow to remove bone spurs and chips (out for season),8,187.96,86.18248,32,Undrafted,2.6,2.3,0,0,1,0,0,0,0,0,0,0,Hip
23,2011,Rudy Gay,SF,54,2152,17.8,Grizzlies,placed on IL with partially dislocated left shoulder (out for season),4,203.2,104.32616,24,2006,9.1,16.23333333,0,0,0,0,0,1,0,0,0,0,Shoulder
243,2016,Rudy Gobert,C,61,1932,17.5,Jazz,placed on IL with sprained right ankle (out for season),9,215.9,111.13004,24,2013,17.6,26,1,0,0,0,0,0,0,0,0,0,Ankle
3,2011,Ryan Anderson,PF,64,1424,19,Magic,placed on IL (out for season),4,208.28,108.86208,23,2008,8.8,15.2,0,0,0,0,0,0,0,0,0,1,Other
255,2016,Salah Mejri,C,34,397,16.8,Mavericks,strained right hip (out for season),9,218.44,111.13004,30,Undrafted,6.7,7.7,0,0,1,0,0,0,0,0,0,0,Hip
48,2011,Samardo Samuels,PF,37,701,11.7,Cavaliers,placed on IL with strained left groin (out for season),4,205.74,117.93392,22,Undrafted,7.4,2.7,0,0,0,0,0,0,0,0,0,1,Other
186,2015,Serge Ibaka,PF,64,2116,16.6,Thunder,placed on IL with right knee injury (out for season),8,208.28,111.13004,25,2008,15.8,16.33333333,0,0,0,1,0,0,0,0,0,0,Knee
278,2017,Seth Curry,PG,70,2029,15.5,Mavericks,sore left shoulder (out for season),10,187.96,83.91452,26,Undrafted,6.5,6.8,0,0,0,0,0,1,0,0,0,0,Shoulder
148,2014,Shabazz Muhammad,SG,37,290,13.1,Timberwolves,placed on IL with sprained MCL in right knee (out for season),7,198.12,100.697424,21,2013,3,8.8,0,0,0,1,0,0,0,0,0,0,Knee
204,2015,Shabazz Napier,PG,51,1012,9.3,Heat,hip injury / sports hernia (out for season),8,185.42,79.3786,23,2014,6.1,4.1,0,0,1,0,0,0,0,0,0,0,Hip
40,2011,Shaun Livingston,PG,73,1261,14.3,Bobcats,placed on IL with tailbone injury (out for season),4,200.66,83.91452,25,2004,10.2,8.266666667,0,0,0,0,0,0,0,0,0,1,Other
102,2012,Shawne Williams,SF,25,514,4.9,Nets,surgery on left foot to remove bone fragment (out for season),5,205.74,104.32616,26,2006,6.5,8.2,0,1,0,0,0,0,0,0,0,0,Foot
198,2015,Shelvin Mack,PG,55,833,13.2,Hawks,separated right shoulder (out for season),8,190.5,93.893544,25,2011,4.4,8,0,0,0,0,0,1,0,0,0,0,Shoulder
