,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
168,2015,Isaiah Canaan,PG,47,938,12.4,76ers,sprained right foot (out for season),8,182.88,91.171992,24,2013,3.4,4.1,0,1,0,0,0,0,0,0,0,0,Foot
300,2017,Isaiah Thomas,PG,76,2569,26.5,Celtics,hip injury (out for season),10,175.26,83.91452,28,2011,12.6,3.7,0,0,1,0,0,0,0,0,0,0,Hip
305,2017,Ivica Zubac,C,38,609,17,Lakers,sprained right ankle (out for season),10,215.9,108.86208,20,2016,9.5,14.6,1,0,0,0,0,0,0,0,0,0,Ankle
121,2013,JaVale McGee,C,79,1433,20.7,Nuggets,placed on IL with stress fracture in left tibia (out for season),6,213.36,114.305184,25,2008,8.6,7.2,0,0,0,0,0,0,0,0,0,1,Other
208,2015,Jabari Parker,PF,25,738,14.5,Bucks,surgery on left knee to repair torn ACL (out for season),8,203.2,108.86208,20,2014,12.9,19.4,0,0,0,1,0,0,0,0,0,0,Knee
261,2016,Jahlil Okafor,C,53,1591,17.1,76ers,arthroscopic surgery on right knee to repair torn meniscus (out for season),9,210.82,124.7378,20,2015,16.6,7.25,0,0,0,1,0,0,0,0,0,0,Knee
206,2015,Jameer Nelson,PG,63,1407,12.1,Nuggets,placed on IL with hip flexor injury (out for season),8,182.88,86.18248,33,2004,14,11.3,0,0,1,0,0,0,0,0,0,0,Hip
74,2012,James Harden,SG,62,1946,21.1,Thunder,placed on IL with concussion (out for season),5,195.58,99.79024,22,2009,9.8,24.4,0,0,0,0,0,0,0,0,0,1,Other
223,2015,James Young,SG,31,332,8.5,Celtics,placed on IL (out for season),8,198.12,97.52228,19,2014,2.9,2.4,0,0,0,0,0,0,0,0,0,1,Other
131,2013,Jared Sullinger,PF,45,892,13.5,Celtics,placed on IL with surgery on back (out for season),6,205.74,117.93392,21,2012,10.2,16.1,0,0,0,0,0,0,1,0,0,0,Back
253,2016,Jarell Martin,PF,27,380,14,Grizzlies,sore left foot (out for season),9,208.28,108.408488,22,2015,6.5,8.9,0,1,0,0,0,0,0,0,0,0,Foot
77,2012,Jarrett Jack,PG,45,1530,17.9,Hornets,placed on IL with stress fracture in right foot (out for season),5,190.5,89.357624,28,2005,10.4,10.3,0,1,0,0,0,0,0,0,0,0,Foot
16,2011,Jason Collins,C,49,593,5.4,Hawks,placed on IL with sprained left ankle (out for season),4,213.36,115.66596,32,2001,3.8,1.6,1,0,0,0,0,0,0,0,0,0,Ankle
125,2013,Jason Richardson,SG,33,936,12.6,76ers,surgery on left knee (out for season) (date approximate),6,198.12,102.0582,32,2001,15.53333333,8.3,0,0,0,1,0,0,0,0,0,0,Knee
130,2013,Jason Smith,C,51,876,16.8,Hornets,placed on IL with torn labrum in right shoulder (out for season),6,213.36,108.86208,27,2007,4.6,8.8,0,0,0,0,0,1,0,0,0,0,Shoulder
153,2014,Jason Terry,PG,35,570,7.4,Kings,placed on IL recovering from surgery on left knee (out for season),7,187.96,81.64656,36,1999,14.1,5.3,0,0,0,1,0,0,0,0,0,0,Knee
49,2011,Jason Thompson,PF,75,1748,13.6,Kings,fractured right big toe (out for season),4,210.82,113.398,24,2008,13.6,13.4,0,1,0,0,0,0,0,0,0,0,Foot
25,2011,Jeff Green,PF-SF,75,2427,12.9,Celtics,surgery on heart to repair aortic aneurysm (out for season),4,205.74,106.59412,24,2007,10.8,12.1,0,0,0,0,0,0,0,0,0,1,Other
152,2014,Jeff Teague,PG,79,2542,17.1,Hawks,placed on IL (out for season),7,187.96,82.100152,26,2009,3.8,15.4,0,0,0,0,0,0,0,0,0,1,Other
81,2012,Jeremy Lin,PG,35,940,19.9,Knicks,surgery on left knee to repair torn meniscus (out for season),5,190.5,90.7184,23,Undrafted,4.3,12.4,0,0,0,1,0,0,0,0,0,0,Knee
59,2012,Jerryd Bayless,PG,31,705,17.7,Raptors,partially torn left oblique muscle (out for season),5,190.5,94.347136,23,2008,3.5,8.233333333,0,0,0,0,0,0,0,0,0,1,Other
258,2016,Joakim Noah,C,29,635,14.1,Bulls,separated left shoulder (out for season),9,210.82,105.233344,31,2007,18.5,11.7,0,0,0,0,0,1,0,0,0,0,Shoulder
284,2017,Joe Harris,SG,52,1138,9,Nets,sprained left shoulder (out for season),10,198.12,99.336648,25,2014,2,13.7,0,0,0,0,0,1,0,0,0,0,Shoulder
280,2017,Joel Embiid,C,31,786,24.1,76ers,bruised left knee (out for season),10,213.36,113.398,23,2014,20.7,32.4,0,0,0,1,0,0,0,0,0,0,Knee
250,2016,Joffrey Lauvergne,C,59,1041,15.7,Nuggets,back injury (out for season),9,210.82,99.79024,24,2013,4.8,5.5,0,0,0,0,0,0,1,0,0,0,Back
143,2014,John Jenkins,SG,13,158,4.7,Hawks,back injury (out for season),7,193.04,97.52228,23,2012,5.4,3.666666667,0,0,0,0,0,0,1,0,0,0,Back
96,2012,John Salmons,SF,46,1250,9,Kings,placed on IL with hip injury (out for season),5,198.12,93.893544,32,2002,13,6.033333333,0,0,1,0,0,0,0,0,0,0,Hip
118,2013,Jon Leuer,PF-C,28,187,10.4,Grizzlies,placed on IL with sprained left ankle (out for season),6,208.28,103.418976,24,2011,5.9,5.6,1,0,0,0,0,0,0,0,0,0,Ankle
1,2010,Jonas Jerebko,PF,80,2232,13.9,Pistons,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season),3,208.28,104.779752,23,2009,11.9,10,0,0,0,0,0,0,0,1,0,0,Achilles
266,2016,Jonathon Simmons,SG,55,813,11.9,Spurs,placed on IL (out for season),9,198.12,88.45044,26,Undrafted,5.7,12.1,0,0,0,0,0,0,0,0,0,1,Other
29,2011,Josh Howard,SF,18,409,9.2,Wizards,placed on IL with left knee tendinitis (out for season),4,200.66,95.25432,31,2003,18.9,6,0,0,0,1,0,0,0,0,0,0,Knee
248,2016,Josh Huestis,PF,5,55,6.7,Thunder,placed on IL (out for season),9,200.66,104.32616,24,2014,2.6,3.4,0,0,0,0,0,0,0,0,0,1,Other
147,2014,Josh McRoberts,PF,78,2360,13.8,Heat,torn meniscus in right knee (out for season),7,208.28,108.86208,27,2007,6.5,5.4,0,0,0,1,0,0,0,0,0,0,Knee
142,2014,Jrue Holiday,PG,34,1143,17.1,Pelicans,placed on IL with stress fracture in right ankle/tibia (out for season),7,193.04,92.98636,24,2009,9.4,16.3,1,0,0,0,0,0,0,0,0,0,Ankle
304,2017,Justise Winslow,SF,18,625,8.2,Heat,torn labrum in right shoulder (out for season),10,200.66,102.0582,21,2015,9.2,14.3,0,0,0,0,0,1,0,0,0,0,Shoulder
290,2017,Kawhi Leonard,SF,74,2474,27.5,Spurs,sprained left ankle (out for season),10,200.66,104.32616,26,2011,15.7,26.9,1,0,0,0,0,0,0,0,0,0,Ankle
218,2015,Kemba Walker,PG,62,2119,17.6,Hornets,surgery on left knee to repair torn lateral meniscus (out for season),8,185.42,83.460928,25,2011,11.4,21,0,0,0,1,0,0,0,0,0,0,Knee
178,2015,Kenneth Faried,PF,75,2086,18.4,Nuggets,undisclosed (out for season),8,203.2,103.418976,25,2011,17.5,14.4,0,0,0,0,0,0,0,0,0,1,Other
175,2015,Kevin Durant,SF,27,913,27.6,Thunder,placed on IL with right foot injury (out for season),8,205.74,108.86208,26,2007,24.8,30.3,0,1,0,0,0,0,0,0,0,0,Foot
22,2011,Kevin Garnett,PF,71,2220,20.6,Celtics,placed on IL for rest (out for season),4,210.82,114.758776,35,1995,24.9,18.3,0,0,0,0,0,0,0,0,0,1,Other
41,2011,Kevin Love,PF,73,2611,24.3,Timberwolves,placed on IL with strained left groin (out for season),4,208.28,117.93392,22,2008,15.9,20.5,0,0,0,0,0,0,0,0,0,1,Other
119,2013,Kevin Martin,SG,77,2136,16,Thunder,placed on IL (out for season),6,200.66,83.91452,30,2004,18.9,15.1,0,0,0,0,0,0,0,0,0,1,Other
28,2011,Kirk Hinrich,SG-PG,72,2157,12.3,Hawks,placed on IL with strained right hamstring (out for season),4,193.04,86.18248,30,2003,13.7,10.6,0,0,0,0,0,0,0,0,1,0,Hamstring
109,2013,Kobe Bryant,SG,78,3013,23,Lakers,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season),6,198.12,92.98636,34,1996,24.2,17.3,0,0,0,0,0,0,0,1,0,0,Achilles
30,2011,Kris Humphries,PF,74,2061,17.8,Nets,placed on IL with sprained ankle (out for season),4,205.74,106.59412,26,2004,6.7,8.6,1,0,0,0,0,0,0,0,0,0,Ankle
196,2015,Kyle Korver,SG,75,2418,14.8,Hawks,sprained right ankle (out for season),8,200.66,96.161504,34,2003,7.5,10.16666667,1,0,0,0,0,0,0,0,0,0,Ankle
83,2012,Kyle Lowry,PG,47,1510,18.8,Rockets,hernia (out for season),5,182.88,92.98636,26,2006,10.8,20.4,0,0,0,0,0,0,0,0,0,1,Other
187,2015,Kyrie Irving,PG,75,2730,21.5,Cavaliers,fractured left kneecap (out for season),8,190.5,87.543256,23,2011,17.9,22.3,0,0,0,1,0,0,0,0,0,0,Knee
58,2012,LaMarcus Aldridge,PF,55,1994,22.7,Blazers,surgery on right hip to repair torn labrum (out for season) (date approximate),5,210.82,108.86208,26,2006,18.4,24.9,0,0,1,0,0,0,0,0,0,0,Hip
216,2015,Lance Stephenson,SG,61,1573,8.8,Hornets,sprained right toe (out for season),8,195.58,104.32616,24,2010,2.9,8.05,0,1,0,0,0,0,0,0,0,0,Foot
269,2016,Lance Thomas,PF,59,1313,10.4,Knicks,sprained MCL in left knee (out for season),9,203.2,106.59412,28,Undrafted,5.2,4.8,0,0,0,1,0,0,0,0,0,0,Knee
7,2011,Leandro Barbosa,SG,58,1395,15.3,Raptors,placed on IL with sore right pinky finger (out for season),4,190.5,91.625584,28,2003,13.5,4.8,0,0,0,0,1,0,0,0,0,0,Finger 
36,2011,Linas Kleiza,SF,39,1032,10.1,Raptors,microfracture surgery on right knee to repair cartilage damage (out for season),4,203.2,111.13004,26,2005,11.2,5.3,0,0,0,1,0,0,0,0,0,0,Knee
